task name,random seed,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
longest_consecutive_sequence_mnist,3177,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,,,,,,,,,,
longest_consecutive_sequence_mnist,5848,0.25,0.248,0.218,0.24,0.24,0.206,0.192,0.19,0.222,0.212,,,,,,,,,,
longest_consecutive_sequence_mnist,9175,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,
longest_consecutive_sequence_svhn,3177,0.532,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,,,,,,,,,,
longest_consecutive_sequence_svhn,5848,0.242,0.244,0.244,0.244,0.242,0.246,0.244,0.238,0.244,0.242,,,,,,,,,,
longest_consecutive_sequence_svhn,9175,0.244,0.244,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,,,,,,,,,,
best_time_to_buy_and_sell_stock_mnist,3177,0.204,0.204,0.182,0.194,0.206,0.188,0.192,0.194,0.204,0.186,,,,,,,,,,
best_time_to_buy_and_sell_stock_mnist,5848,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,0.242,,,,,,,,,,
best_time_to_buy_and_sell_stock_mnist,9175,0.194,0.144,0.158,0.146,0.152,0.126,0.146,0.146,0.15,0.138,,,,,,,,,,
best_time_to_buy_and_sell_stock_svhn,3177,0.148,0.14,0.13,0.13,0.132,0.232,0.232,0.232,0.232,0.232,,,,,,,,,,
best_time_to_buy_and_sell_stock_svhn,5848,0.194,0.196,0.19,0.184,0.184,0.184,0.18,0.182,0.184,0.184,,,,,,,,,,
best_time_to_buy_and_sell_stock_svhn,9175,0.234,0.228,0.254,0.254,0.254,0.244,0.238,0.266,0.21,0.216,,,,,,,,,,
maximum_subarray_mnist,3177,0.014,0.014,0.016,0.01,0.018,0.012,0.014,0.022,0.02,0.018,,,,,,,,,,
maximum_subarray_mnist,5848,0.034,0.04,0.036,0.032,0.026,0.02,0.03,0.032,0.026,0.04,,,,,,,,,,
maximum_subarray_mnist,9175,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.002,0.0,0.002,,,,,,,,,,
maximum_subarray_svhn,3177,0.034,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.046,0.038,,,,,,,,,,
maximum_subarray_svhn,5848,0.01,0.028,0.004,0.022,0.044,0.022,0.018,0.014,0.024,0.026,,,,,,,,,,
maximum_subarray_svhn,9175,0.046,0.032,0.046,0.044,0.038,0.036,0.036,0.032,0.036,0.034,,,,,,,,,,
permutations_ii_mnist,3177,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,72.1991,71.4807,76.7485,57.2046,53.7144,66.2886,66.4537,72.992,72.3939,74.4509
permutations_ii_mnist,5848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.2584,69.5929,79.6458,70.3348,65.6667,81.1094,77.2352,79.0012,80.5965,70.997
permutations_ii_mnist,9175,0.0,0.0,0.004,0.002,0.002,0.0,0.002,0.002,0.0,0.0,76.3845,77.0266,78.1515,76.2799,73.1976,72.8242,76.3879,67.4441,55.8328,72.5464
permutations_ii_svhn,3177,0.002,0.002,0.002,0.004,0.002,0.004,0.0,0.0,0.0,0.002,87.7315,87.4137,78.9087,80.916,82.479,84.3179,82.4284,79.3922,76.4569,64.808
permutations_ii_svhn,5848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.743,87.8701,88.9941,85.4501,70.0273,87.3028,87.3858,89.4444,77.5314,81.5425
permutations_ii_svhn,9175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8106,71.8877,73.5573,71.0938,69.8823,74.8006,69.6949,73.7118,76.1333,76.5268
longest_common_prefix_mnist,3177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5821,60.0481,57.2336,57.8617,59.2305,57.7664,53.6109,57.7698,61.6419,61.3134
longest_common_prefix_mnist,5848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.4039,58.9091,58.3998,53.6076,57.9717,58.9786,57.5798,53.8612,60.4452,61.318
longest_common_prefix_mnist,9175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.4967,56.8504,56.3025,56.382,58.9858,58.0811,61.1929,58.2191,55.9052,56.2873
longest_common_prefix_svhn,3177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.4886,58.5158,58.9423,58.2418,64.0259,46.8687,62.3923,60.0388,60.1483,58.7732
longest_common_prefix_svhn,5848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.4229,60.6903,60.9285,64.9886,61.586,69.8392,76.0208,65.8276,62.0637,65.6033
longest_common_prefix_svhn,9175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.686,66.9609,63.2458,64.3861,66.7213,62.564,67.163,66.3065,64.5005,64.3861
reverse_string,3177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.002,221.6409,215.7317,221.2647,211.4807,229.4417,222.7414,212.7907,220.423,218.8772
reverse_string,5848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.2163,222.1892,216.6065,233.4282,227.1347,212.9884,227.472,222.3755,216.0421,221.6025
reverse_string,9175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.9601,215.0215,221.3987,221.2973,223.5307,216.5211,221.4254,225.561,239.4453,229.9926
palindrome_number_mnist,3177,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,,,,,,,,,,
palindrome_number,5848_mnist,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,,,,,,,,,,
palindrome_number,9175_mnist,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,,,,,,,,,,
palindrome_number_svhn,3177,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,,,,,,,,,,
palindrome_number_svhn,5848,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,,,,,,,,
palindrome_number_svhn,9175,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,,,,,,,,,,
